Name,Watch Number,Episode,Link
無職轉生～到了異世界就拿出真本事 第二季,5127000.0,第19集,https://ani.gamer.com.tw/animeVideo.php?sn=38309
月光下的異世界之旅 第二季,3651000.0,第21集,https://ani.gamer.com.tw/animeVideo.php?sn=38456
魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～第二季,2424000.0,第18集,https://ani.gamer.com.tw/animeVideo.php?sn=38326
關於我轉生變成史萊姆這檔事 第三季,1904000.0,第56集,https://ani.gamer.com.tw/animeVideo.php?sn=38430
轉生為第七王子，隨心所欲的魔法學習之路,1676000.0,第9集,https://ani.gamer.com.tw/animeVideo.php?sn=38454
為美好的世界獻上祝福！3,1478000.0,第7集,https://ani.gamer.com.tw/animeVideo.php?sn=38357
身為魔王的我娶了奴隸精靈為妻，該如何表白我的愛？,1346000.0,第9集,https://ani.gamer.com.tw/animeVideo.php?sn=38387
怪獸 8 號,1242000.0,第7集,https://ani.gamer.com.tw/animeVideo.php?sn=38421
WIND BREAKER—防風少年—,1116000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38386
從 Lv2 開始開外掛的前勇者候補過著悠哉異世界生活,1081000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38458
轉生貴族憑鑑定技能扭轉人生,944000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38411
魔法科高中的劣等生 第三季,874000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38429
老夫老妻重返青春,797000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38412
Re:Monster,783000.0,第9集,https://ani.gamer.com.tw/animeVideo.php?sn=38457
夜晚的水母不會游泳,676000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38419
鬼滅之刃 柱訓練篇,572000.0,第3集,https://ani.gamer.com.tw/animeVideo.php?sn=38483
怪人的沙拉碗,569000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38385
夜櫻家大作戰,512000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38415
蔚藍檔案 The Animation,496000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38409
單人房、日照一般、附天使。,480000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38423
THE NEW GATE,475000.0,第7集,https://ani.gamer.com.tw/animeVideo.php?sn=38418
我的英雄學院 第七季,446000.0,第142集,https://ani.gamer.com.tw/animeVideo.php?sn=38424
搖曳露營△ 第三季,404000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38388
王牌酒保 Glass of God,364000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38355
失憶投捕,336000.0,第7集,https://ani.gamer.com.tw/animeVideo.php?sn=38361
約會大作戰 DATE A LIVE V,321000.0,第7集,https://ani.gamer.com.tw/animeVideo.php?sn=38356
格鬥實況,315000.0,第7集,https://ani.gamer.com.tw/animeVideo.php?sn=38354
她來自煩星 第二季,290000.0,第42集,https://ani.gamer.com.tw/animeVideo.php?sn=38384
神明渴求著遊戲。,284000.0,第9集,https://ani.gamer.com.tw/animeVideo.php?sn=38459
龍族,280000.0,第11集,https://ani.gamer.com.tw/animeVideo.php?sn=38422
隊長小翼 Season2 青少年篇,264000.0,第34集,https://ani.gamer.com.tw/animeVideo.php?sn=38414
恰如細語般的戀歌,213000.0,第7集,https://ani.gamer.com.tw/animeVideo.php?sn=38417
黑執事 寄宿學校篇,211000.0,第7集,https://ani.gamer.com.tw/animeVideo.php?sn=38420
聲優廣播的幕前幕後,205000.0,第7集,https://ani.gamer.com.tw/animeVideo.php?sn=38358
我回來了、歡迎回家,169000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38455
戽斗星球,142000.0,第5集,https://ani.gamer.com.tw/animeVideo.php?sn=37774
花野井同學與戀愛病,132000.0,第7集,https://ani.gamer.com.tw/animeVideo.php?sn=38359
關於我們把節目全部丟給聲優那件事,108000.0,第7集,https://ani.gamer.com.tw/animeVideo.php?sn=38271
死神少爺與黑女僕 第三季,103000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38413
星際莊的戀愛日記,74000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38431
極速星舞,73000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38426
蜻蛉高球,51000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38425
偶像大師 閃耀色彩,49000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38427
Love Live！虹咲學園 學園偶像同好會 短篇動畫 第二季,39000.0,第8集,https://ani.gamer.com.tw/animeVideo.php?sn=38432
RINKAI！女子競輪,37000.0,第7集,https://ani.gamer.com.tw/animeVideo.php?sn=38360
