popularity,name,date,url,img
103.5萬,關於我轉生變成史萊姆這檔事 第三季,2024/03,https://ani.gamer.com.tw/animeRef.php?sn=113489,https://p2.bahamut.com.tw/B/ACG/c/14/0000128514.JPG
94.5萬,吉伊卡哇,2022/04,https://ani.gamer.com.tw/animeRef.php?sn=113448,https://p2.bahamut.com.tw/B/ACG/c/21/0000120421.JPG
90.3萬,月光下的異世界之旅 第二季,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113470,https://p2.bahamut.com.tw/B/ACG/c/92/0000119792.JPG
90.1萬,為美好的世界獻上祝福！3,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113517,https://p2.bahamut.com.tw/B/ACG/c/19/0000118719.JPG
88.7萬,身為魔王的我娶了奴隸精靈為妻，該如何表白我的愛？,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113503,https://p2.bahamut.com.tw/B/ACG/c/41/0000128241.JPG
64萬,從 Lv2 開始開外掛的前勇者候補過著悠哉異世界生活,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113490,https://p2.bahamut.com.tw/B/ACG/c/38/0000136038.JPG
46.8萬,老夫老妻重返青春,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113527,https://p2.bahamut.com.tw/B/ACG/c/35/0000134735.JPG
34.5萬,怪人的沙拉碗,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113504,https://p2.bahamut.com.tw/B/ACG/c/18/0000133918.JPG
33.4萬,烏龍派出所,1996/06,https://ani.gamer.com.tw/animeRef.php?sn=112904,https://p2.bahamut.com.tw/B/ACG/c/87/0000018987.JPG
29萬,夜櫻家大作戰,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113492,https://p2.bahamut.com.tw/B/ACG/c/01/0000129301.JPG
27.4萬,單人房、日照一般、附天使。,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113519,https://p2.bahamut.com.tw/B/ACG/c/79/0000135879.JPG
22.6萬,肌肉魔法使-MASHLE- 神覺者候補選拔試驗篇,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113457,https://p2.bahamut.com.tw/B/ACG/c/92/0000133792.JPG
20.3萬,約會大作戰 DATE A LIVE V,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113499,https://p2.bahamut.com.tw/B/ACG/c/70/0000125370.JPG
19.8萬,失憶投捕,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113523,https://p2.bahamut.com.tw/B/ACG/c/78/0000134578.JPG
19萬,我內心的糟糕念頭 第二季,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113460,https://p2.bahamut.com.tw/B/ACG/c/22/0000133422.JPG
18.3萬,為美好的世界獻上祝福！,2016/01,https://ani.gamer.com.tw/animeRef.php?sn=76677,https://p2.bahamut.com.tw/B/ACG/c/77/0000076677.JPG
17.8萬,治癒魔法的錯誤使用法,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113438,https://p2.bahamut.com.tw/B/ACG/c/95/0000119195.JPG
16.8萬,為美好的世界獻上祝福！ 第二季,2017/01,https://ani.gamer.com.tw/animeRef.php?sn=82626,https://p2.bahamut.com.tw/B/ACG/c/26/0000082626.JPG
16.3萬,關於我轉生變成史萊姆這檔事 第二季,2021/01,https://ani.gamer.com.tw/animeRef.php?sn=112548,https://p2.bahamut.com.tw/B/ACG/c/13/0000104513.JPG
14.3萬,月光下的異世界之旅,2021/07,https://ani.gamer.com.tw/animeRef.php?sn=112731,https://p2.bahamut.com.tw/B/ACG/c/46/0000117246.JPG
12.7萬,聲優廣播的幕前幕後,2024/04,https://ani.gamer.com.tw/animeRef.php?sn=113498,https://p2.bahamut.com.tw/B/ACG/c/30/0000129330.JPG
12.5萬,關於我轉生變成史萊姆這檔事,2018/10,https://ani.gamer.com.tw/animeRef.php?sn=94601,https://p2.bahamut.com.tw/B/ACG/c/01/0000094601.JPG
12萬,肌肉魔法使-MASHLE-,2023/04,https://ani.gamer.com.tw/animeRef.php?sn=113252,https://p2.bahamut.com.tw/B/ACG/c/27/0000125527.JPG
10.2萬,魔都精兵的奴隸,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113451,https://p2.bahamut.com.tw/B/ACG/c/71/0000120671.JPG
10.2萬,我內心的糟糕念頭,2023/04,https://ani.gamer.com.tw/animeRef.php?sn=113246,https://p2.bahamut.com.tw/B/ACG/c/56/0000126156.JPG
8.9萬,為美好的世界獻上爆焰！,2023/04,https://ani.gamer.com.tw/animeRef.php?sn=113238,https://p2.bahamut.com.tw/B/ACG/c/14/0000129014.JPG
7.2萬,夢想成為魔法少女,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113466,https://p2.bahamut.com.tw/B/ACG/c/60/0000130960.JPG
7萬,她來自煩星 第二季,2024/01,https://ani.gamer.com.tw/animeRef.php?sn=113453,https://p2.bahamut.com.tw/B/ACG/c/57/0000131157.JPG
